,Model,Predictive Accuracy,Participant Data,Params
261,MEU,0.5000000341435186,6174180168_20220602.csv,
262,BVAE,0.5923834678135815,6174180168_20220602.csv,0.0
263,CNN,0.5747356595586416,6174180168_20220602.csv,0.0
264,Sparse,0.5279394253011724,6174180168_20220602.csv,0.0
265,CPT,0.5455234953618919,6176365135_20220602.csv,
266,MEU,0.5196238882855265,6176365135_20220602.csv,
267,BVAE,0.5436707468253092,6176365135_20220602.csv,0.0
268,CNN,0.5340158550661074,6176365135_20220602.csv,0.0
269,Sparse,0.49366403872774567,6176365135_20220602.csv,0.0
270,CPT,0.7897988033089091,6247410167_20220607.csv,
271,MEU,0.5561285308921903,6247410167_20220607.csv,
272,BVAE,0.7482058178938541,6247410167_20220607.csv,0.0
273,CNN,0.5463257663914074,6247410167_20220607.csv,0.0
274,Sparse,0.47005477076100877,6247410167_20220607.csv,0.0
275,CPT,0.5123375162950644,6737332423_20220607.csv,
276,MEU,0.5074861661077523,6737332423_20220607.csv,
277,BVAE,0.5063378742801703,6737332423_20220607.csv,0.0
278,CNN,0.5082429724822505,6737332423_20220607.csv,0.0
279,Sparse,0.5001134642095357,6737332423_20220607.csv,0.0
280,CPT,0.5001559954078695,6745644970_20220623.csv,
281,MEU,0.5000000015096617,6745644970_20220623.csv,
282,BVAE,0.500130105606267,6745644970_20220623.csv,0.0
283,CNN,0.4995313988536287,6745644970_20220623.csv,0.0
284,Sparse,0.49785148218064834,6745644970_20220623.csv,0.0
285,CPT,0.522725742874713,682320948_20220701.csv,
286,MEU,0.5003646756311205,682320948_20220701.csv,
287,BVAE,0.5132213241235555,682320948_20220701.csv,0.0
288,CNN,0.52186653853383,682320948_20220701.csv,0.0
289,Sparse,0.4792153103739857,682320948_20220701.csv,0.0
290,CPT,0.5872946192850901,685851185_20220701.csv,
291,MEU,0.5006972186778538,685851185_20220701.csv,
292,BVAE,0.5190973064885608,685851185_20220701.csv,0.0
293,CNN,0.5444294081252131,685851185_20220701.csv,0.0
294,Sparse,0.5021393724923959,685851185_20220701.csv,0.0
295,CPT,0.5020938476921583,6948208686_20220602.csv,
296,MEU,0.5008065620361756,6948208686_20220602.csv,
297,BVAE,0.5001776623618189,6948208686_20220602.csv,0.0
298,CNN,0.49904731785880874,6948208686_20220602.csv,0.0
299,Sparse,0.4985648119699055,6948208686_20220602.csv,0.0
300,CPT,0.7113765605239786,6969137467_20220622.csv,
301,MEU,0.5000000552721089,6969137467_20220622.csv,
302,BVAE,0.5298465907617499,6969137467_20220622.csv,0.0
303,CNN,0.5901643921700136,6969137467_20220622.csv,0.0
304,Sparse,0.4742289105698303,6969137467_20220622.csv,0.0
305,CPT,0.5184280256030099,7043291063_20220622.csv,
306,MEU,0.5111518638983276,7043291063_20220622.csv,
307,BVAE,0.5036900704024718,7043291063_20220622.csv,0.0
308,CNN,0.5041726380687392,7043291063_20220622.csv,0.0
309,Sparse,0.4896167571252868,7043291063_20220622.csv,0.0
310,CPT,0.7712803953869343,7056217438_20220622.csv,
311,MEU,0.5648317277775551,7056217438_20220622.csv,
312,BVAE,0.6478024318980288,7056217438_20220622.csv,0.0
313,CNN,0.5563498278533018,7056217438_20220622.csv,0.0
314,Sparse,0.4495978108621155,7056217438_20220622.csv,0.0
315,CPT,0.5061146224571864,7075207841_20220622.csv,
316,MEU,0.5000000102996255,7075207841_20220622.csv,
317,BVAE,0.5051865832196191,7075207841_20220622.csv,0.0
318,CNN,0.5015781169971879,7075207841_20220622.csv,0.0
319,Sparse,0.5002206336586053,7075207841_20220622.csv,0.0
320,CPT,0.4999999963652941,7243344067_20220701.csv,
321,MEU,0.5,7243344067_20220701.csv,
322,BVAE,0.500000001221759,7243344067_20220701.csv,0.0
323,CNN,0.5000000098039185,7243344067_20220701.csv,0.0
324,Sparse,0.4999999785183316,7243344067_20220701.csv,0.0
325,CPT,0.5002233207866986,7351329913_20220701.csv,
326,MEU,0.5000000019640853,7351329913_20220701.csv,
327,BVAE,0.5008523262093992,7351329913_20220701.csv,0.0
328,CNN,0.4993855070768666,7351329913_20220701.csv,0.0
329,Sparse,0.4998886420552014,7351329913_20220701.csv,0.0
330,CPT,0.8256483029751436,748797646_20220518.csv,
331,MEU,0.5000000561111111,748797646_20220518.csv,
332,BVAE,0.8041825008906887,748797646_20220518.csv,0.0
333,CNN,0.5907803428689085,748797646_20220518.csv,0.0
334,Sparse,0.49507775454446706,748797646_20220518.csv,0.0
335,CPT,0.5041348009414113,7489651562_20220701.csv,
336,MEU,0.5000000080183277,7489651562_20220701.csv,
337,BVAE,0.5040820507932162,7489651562_20220701.csv,0.0
338,CNN,0.503792501437394,7489651562_20220701.csv,0.0
339,Sparse,0.5047943344250088,7489651562_20220701.csv,0.0
340,CPT,0.4999999958649729,7560795788_20220624.csv,
341,MEU,0.49999999586288413,7560795788_20220624.csv,
342,BVAE,0.4999999993712098,7560795788_20220624.csv,0.0
343,CNN,0.500000005622903,7560795788_20220624.csv,0.0
344,Sparse,0.4999999847279058,7560795788_20220624.csv,0.0
345,CPT,0.6450090701402021,7708514735_20220701.csv,
346,MEU,0.5024207989592695,7708514735_20220701.csv,
347,BVAE,0.5433504330177198,7708514735_20220701.csv,0.0
348,CNN,0.5897699603423209,7708514735_20220701.csv,0.0
349,Sparse,0.4723646138400686,7708514735_20220701.csv,0.0
350,CPT,0.8091265291374852,7729591288_20220607.csv,
351,MEU,0.5000000547138048,7729591288_20220607.csv,
352,BVAE,0.7874333143568797,7729591288_20220607.csv,0.0
353,CNN,0.787302999939934,7729591288_20220607.csv,0.0
